username,url_to_history,history_id,history_name,dataset_id,dataset_name,inheritance_chain
paula_lutz,https://usegalaxy.eu/u/paula_lutz/h/day-3-lutz-paula-part-1-reference-based-rna-seq-data-analysis,4eccb29754e0bd60,Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis,4838ba20a6d867658548195477d41f9d,GSM461177_1.fastqsanger (untreated),GSM461177_1.fastqsanger (untreated) (Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis)
paula_lutz,https://usegalaxy.eu/u/paula_lutz/h/day-3-lutz-paula-part-1-reference-based-rna-seq-data-analysis,4eccb29754e0bd60,Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis,4838ba20a6d8676578003f1282d78317,GSM461177_2.fastqsanger (untreated),GSM461177_2.fastqsanger (untreated) (Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis)
paula_lutz,https://usegalaxy.eu/u/paula_lutz/h/day-3-lutz-paula-part-1-reference-based-rna-seq-data-analysis,4eccb29754e0bd60,Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis,4838ba20a6d867651f7a00a73ee52b98,GSM461180_1.fastqsanger (treated),GSM461180_1.fastqsanger (treated) (Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis)
paula_lutz,https://usegalaxy.eu/u/paula_lutz/h/day-3-lutz-paula-part-1-reference-based-rna-seq-data-analysis,4eccb29754e0bd60,Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis,4838ba20a6d86765750ccfc5667c2b0e,GSM461180_2.fastqsanger (treated),GSM461180_2.fastqsanger (treated) (Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis)
paula_lutz,https://usegalaxy.eu/u/paula_lutz/h/day-3-lutz-paula-part-1-reference-based-rna-seq-data-analysis,4eccb29754e0bd60,Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis,4838ba20a6d86765469ab373b939e600,GSM461177_1.fastqsanger (untreated),GSM461177_1.fastqsanger (untreated) (Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis); GSM461177_1.fastqsanger (untreated) (Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis)
paula_lutz,https://usegalaxy.eu/u/paula_lutz/h/day-3-lutz-paula-part-1-reference-based-rna-seq-data-analysis,4eccb29754e0bd60,Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis,4838ba20a6d86765a339a397d4dd1058,GSM461177_2.fastqsanger (untreated),GSM461177_2.fastqsanger (untreated) (Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis); GSM461177_2.fastqsanger (untreated) (Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis)
paula_lutz,https://usegalaxy.eu/u/paula_lutz/h/day-3-lutz-paula-part-1-reference-based-rna-seq-data-analysis,4eccb29754e0bd60,Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis,4838ba20a6d86765b77f7d149a055d33,GSM461180_1.fastqsanger (treated),GSM461180_1.fastqsanger (treated) (Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis); GSM461180_1.fastqsanger (treated) (Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis)
paula_lutz,https://usegalaxy.eu/u/paula_lutz/h/day-3-lutz-paula-part-1-reference-based-rna-seq-data-analysis,4eccb29754e0bd60,Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis,4838ba20a6d867652505e2b504dcc43d,GSM461180_2.fastqsanger (treated),GSM461180_2.fastqsanger (treated) (Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis); GSM461180_2.fastqsanger (treated) (Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis)
paula_lutz,https://usegalaxy.eu/u/paula_lutz/h/day-3-lutz-paula-part-1-reference-based-rna-seq-data-analysis,4eccb29754e0bd60,Day_3 Lutz_Paula Part 1: Reference-based RNA-Seq data analysis,4838ba20a6d8676594dba541d926fb80,Drosophila_melanogaster.BDGP6.32.109_UCSC.gtf,Drosophila_melanogaster.BDGP6.32.109_UCSC.gtf ((Data Library))
erikbode,https://usegalaxy.eu/u/erikbode/h/5-bode-karl-erik-gene-based-pathogen-id,b839c6662916827b,5 Bode Karl Erik Gene-Based Pathogen ID,4838ba20a6d86765dd9312e4b3798b39,Barcode10,Barcode10 (5 Bode Karl Erik Taxonomy GC2025); Barcode10 (5 Bode Karl Erik Taxonomy GC2025)
erikbode,https://usegalaxy.eu/u/erikbode/h/5-bode-karl-erik-gene-based-pathogen-id,b839c6662916827b,5 Bode Karl Erik Gene-Based Pathogen ID,4838ba20a6d867655d6c73451b46e908,Barcode11,Barcode11 (5 Bode Karl Erik Taxonomy GC2025); Barcode11 (5 Bode Karl Erik Taxonomy GC2025)
rachana_tirumanyam,https://usegalaxy.eu/u/rachana_tirumanyam/h/day-5-tirumanyam-rachana-pathogen-detection-2-taxonomy-profiling-new-new,a825676192b995cb,Day_5 Tirumanyam Rachana Pathogen_detection_2_taxonomy_profiling New New,4838ba20a6d86765eb78211d147aae0a,Barcode10,Barcode10 (Day_5 Tirumanyam Rachana Pathogen_detection_1 New); Barcode10 (Day_5 Tirumanyam Rachana Pathogen_detection_1 New)
rachana_tirumanyam,https://usegalaxy.eu/u/rachana_tirumanyam/h/day-5-tirumanyam-rachana-pathogen-detection-2-taxonomy-profiling-new-new,a825676192b995cb,Day_5 Tirumanyam Rachana Pathogen_detection_2_taxonomy_profiling New New,4838ba20a6d86765685ee9aedc5411b7,Barcode11,Barcode11 (Day_5 Tirumanyam Rachana Pathogen_detection_1 New); Barcode11 (Day_5 Tirumanyam Rachana Pathogen_detection_1 New)
